Datetime,Latitude,Longitude,Message,Number of Records
10/30/2012 10:15:41 PM,37.4777,-122.223,@Zuora wants to help @Network4Good with Hurricane Relief. Text SANDY to 80888 & donate $10 to @redcross @AmeriCares & @SalvationArmyUS #help,1
11/1/2012 11:11:04 PM,36.7783,-119.418,@ztrip please help spread the good word on helping the victims of hurricane Sandy.   http://t.co/NdKSF6bZ,1
11/4/2012 4:07:02 PM,10000,10000,"#ZSwaggers @Zendaya96 did this,you should too-&gt;help out\#text CONVOY to 50555 send $10 to Hurricane Sandy relief efforts\#hope\#PSDFTS\?????",1
11/5/2012 5:04:19 PM,10000,10000,@Zendaya96 u have inspired me girl! So can everyone PLEASE donate $10 for Hurricane Sandy Victims.Text CONVOY to 50555.Wouldn't u want help?,1
11/4/2012 6:41:56 PM,10000,10000,''@Zendaya96 let's help the Hurricane Sandy victims!! ... $10 donation goes to relief efforts!! we can do this!!'' and syria too?,1
11/5/2012 4:52:22 PM,46.2276,2.21375,@Zendaya96 Help the hurricane Sandy victims . Text CONVOY to 50555 to donate $10 ! #RT Please !! ;),1
11/5/2012 4:49:40 PM,34.0522,-118.243,@Zendaya96 Help the hurricane Sandy victims¡¡ text CONVOY and spreat the world,1
11/4/2012 8:42:18 PM,10000,10000,@Zendaya96  @bellathorne : Help the Hurricane Sandy victims ! Text CONVOY to 50555 ! $10 donation goes to relief efforts !,1
10/30/2012 9:02:03 PM,34.0522,-118.243,Your Personal http://t.co/1jE5iIWf Discount Code to Help Hurricane Relief Efforts - http://t.co/HktUt589,1
11/5/2012 10:17:12 PM,25.6675,-80.3589,Your help is needed! Donate $10 to the American Red Cross Hurricane Sandy Relief Effort by texting REDCROSS to... http://t.co/vS2JppRK,1
10/30/2012 11:28:59 PM,42.3302,-83.0459,You're already on your phone.... #text #redcross to 90999 to #donate to those affected by #hurricane #sandy. http://t.co/nl9kvsgC,1
11/5/2012 5:58:35 PM,40.7561,-73.987,"""You can text \""""REDCROSS\"""" to 90999 to donate $10 to the Hurricane #Sandy relief fund or visit http://t.co/iasHPoOG""",1
11/5/2012 7:26:44 PM,34.0522,-118.243,You can send hurricane Sandy relief supplies via this Amazon wish list: http://t.co/JzU6qJLd,1
11/1/2012 1:43:21 AM,10000,10000,You can now use iTunes to support Hurricane Sandy relief http://t.co/cbFC2MKc #apple,1
11/1/2012 1:56:15 AM,10000,10000,You can now use iTunes to support Hurricane Sandy relief: \\\Apple and the American Red Cross are... http://t.co/ec44RmKL #Tech #Apple,1
11/1/2012 8:37:24 PM,55.3781,-3.43597,You can now donate to the American Red Cross via iTunes. 100% of money raised goes to ARC to help hurricane sandy survivors. #hurricanesandy,1
10/30/2012 9:36:11 PM,33.582,-111.9,You can help with Hurricane Sandy Relief by donating through the Jewish Federations of North America. http://t.co/zxu5KogP,1
10/31/2012 2:14:28 PM,10000,10000,You can help too. Text Red Cross to 90999 #hurricane #sandy #redcross #disaster #relief http://t.co/GuOpYTN7,1
11/2/2012 4:09:20 PM,10000,10000,You can help those affected by Hurricane Sandy by texting REDCROSS to 90999. It's a $10  donation and  is billed through your cell phone,1
11/2/2012 11:28:12 PM,40.9396,-73.8957,YOU CAN HELP! Drop off donations for hurricane victims Sat-Mon at main promotions booth. See below for items needed. http://t.co/kIPA8JGe,1
10/31/2012 5:11:08 AM,40.7356,-74.1722,You can donate $10 via cellphone by texting the word REDCROSS to 90999 to aid the victims of Hurricane Sandy. #redcross,1
